time	V(in)	V(out)	abs(V(out)/V(in))
1.419516289532728e-002	6.081889e-002	-6.191946e-001	1.018096e+001
1.421396935313087e-002	6.308143e-002	-6.423220e-001	1.018243e+001
1.422985853421364e-002	6.425080e-002	-6.543049e-001	1.018361e+001
1.424513709872747e-002	6.471732e-002	-6.591271e-001	1.018471e+001
1.426319207431524e-002	6.443349e-002	-6.563199e-001	1.018601e+001
1.428647141098408e-002	6.268481e-002	-6.386157e-001	1.018773e+001
1.432418703949011e-002	5.674517e-002	-5.782805e-001	1.019083e+001
1.438413037469344e-002	4.111223e-002	-4.192633e-001	1.019802e+001
1.447377902178686e-002	9.853174e-003	-1.010433e-001	1.025490e+001
1.457406767066735e-002	-2.777767e-002	2.822811e-001	1.016216e+001
1.463253453888378e-002	-4.705651e-002	4.787822e-001	1.017462e+001
1.466945938349059e-002	-5.626381e-002	5.726933e-001	1.017872e+001
1.469516289532728e-002	-6.081889e-002	6.191946e-001	1.018096e+001
1.471396935313087e-002	-6.308143e-002	6.423220e-001	1.018243e+001
1.472985853421365e-002	-6.425080e-002	6.543049e-001	1.018361e+001
1.474513709872747e-002	-6.471732e-002	6.591271e-001	1.018471e+001
1.476319207431524e-002	-6.443349e-002	6.563199e-001	1.018601e+001
1.478647141098408e-002	-6.268481e-002	6.386157e-001	1.018773e+001
1.482418703949011e-002	-5.674517e-002	5.782805e-001	1.019083e+001
1.488413037469344e-002	-4.111223e-002	4.192633e-001	1.019802e+001
1.497377902178686e-002	-9.853174e-003	1.010433e-001	1.025490e+001
1.507406767066735e-002	2.777767e-002	-2.822811e-001	1.016216e+001
1.513253453888378e-002	4.705651e-002	-4.787822e-001	1.017462e+001
1.516945938349059e-002	5.626381e-002	-5.726933e-001	1.017872e+001
1.519516289532728e-002	6.081889e-002	-6.191946e-001	1.018096e+001
1.521396935313087e-002	6.308143e-002	-6.423220e-001	1.018243e+001
1.522985853421364e-002	6.425080e-002	-6.543049e-001	1.018361e+001
1.524513709872747e-002	6.471732e-002	-6.591271e-001	1.018471e+001
